state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Karnataka,Shimoga,Bengal Gram(Gram)(Whole),5850.0,,,2017-05-27 00:09:21.221315,5,5,5850.0,5850.0,5850.0,5850.0,0.0,0
Karnataka,Shimoga,Black Gram Dal (Urd Dal),11900.0,,,2017-05-28 00:09:21.221315,5,6,11900.0,11900.0,11900.0,11900.0,0.0,0
Karnataka,Shimoga,Green Gram (Moong)(Whole),11000.0,,,2017-05-29 00:09:21.221315,5,0,11000.0,11000.0,11000.0,11000.0,0.0,0
Karnataka,Shimoga,Green Gram Dal (Moong Dal),12000.0,,,2017-05-30 00:09:21.221315,5,1,12000.0,12000.0,12000.0,12000.0,0.0,0
Karnataka,Shimoga,Jowar(Sorghum),3750.0,,,2017-05-31 00:09:21.221315,5,2,3750.0,3750.0,3750.0,3750.0,0.0,0
Karnataka,Shimoga,Kulthi(Horse Gram),6500.0,,,2017-06-01 00:09:21.221315,6,3,6500.0,6500.0,6500.0,6500.0,0.0,0
Karnataka,Shimoga,Maize,2100.0,,,2017-06-02 00:09:21.221315,6,4,2100.0,2100.0,2100.0,2100.0,0.0,0
Karnataka,Shimoga,Mustard,7500.0,,,2017-06-03 00:09:21.221315,6,5,7500.0,7500.0,7500.0,7500.0,0.0,0
Karnataka,Shimoga,Wheat,5250.0,,,2017-06-04 00:09:21.221315,6,6,5250.0,5250.0,5250.0,5250.0,0.0,0
Madhya Pradesh,Ashoknagar,Wheat,2125.0,,,2017-06-05 00:09:21.221315,6,0,2125.0,2125.0,2125.0,2125.0,0.0,0
Madhya Pradesh,Bhopal,Green Gram (Moong)(Whole),5615.0,,,2017-06-06 00:09:21.221315,6,1,5615.0,5615.0,5615.0,5615.0,0.0,0
Madhya Pradesh,Dewas,Arhar (Tur/Red Gram)(Whole),8000.0,,,2017-06-07 00:09:21.221315,6,2,8000.0,8000.0,8000.0,8000.0,0.0,0
Madhya Pradesh,Dewas,Green Gram (Moong)(Whole),7100.0,,,2017-06-08 00:09:21.221315,6,3,7100.0,7100.0,7100.0,7100.0,0.0,0
