state,district,crop,modal_price,min_price,max_price,date
Uttar Pradesh,Aligarh,Bengal Gram(Gram)(Whole),5560.0,,,
Uttar Pradesh,Aligarh,Green Gram (Moong)(Whole),7760.0,,,
Uttar Pradesh,Aligarh,Lentil (Masur)(Whole),6960.0,,,
Uttar Pradesh,Aligarh,Maize,2000.0,,,
Uttar Pradesh,Aligarh,Mustard,5450.0,,,
Uttar Pradesh,Aligarh,Mustard Oil,12800.0,,,
Uttar Pradesh,Aligarh,Paddy(Dhan)(Basmati),3050.0,,,
Uttar Pradesh,Aligarh,Wheat,2240.0,,,
Uttar Pradesh,Aligarh,Maize,1700.0,,,
Uttar Pradesh,Aligarh,Wheat,2150.0,,,
Uttar Pradesh,Aligarh,Arhar Dal(Tur Dal),12500.0,,,
Uttar Pradesh,Aligarh,Bajra(Pearl Millet/Cumbu),2140.0,,,
Uttar Pradesh,Aligarh,Black Gram Dal (Urd Dal),9500.0,,,
Uttar Pradesh,Aligarh,Maize,2000.0,,,
Uttar Pradesh,Aligarh,Mustard,5450.0,,,
Uttar Pradesh,Aligarh,Mustard Oil,12800.0,,,
Uttar Pradesh,Aligarh,Wheat,2230.0,,,
Uttar Pradesh,Allahabad,Wheat,2240.0,,,
Uttar Pradesh,Allahabad,Bengal Gram(Gram)(Whole),5365.0,,,
Uttar Pradesh,Allahabad,Mustard,5460.0,,,
Uttar Pradesh,Allahabad,Mustard Oil,12500.0,,,
Uttar Pradesh,Allahabad,Wheat,2285.0,,,
Uttar Pradesh,Auraiya,Arhar (Tur/Red Gram)(Whole),9200.0,,,
Uttar Pradesh,Auraiya,Arhar Dal(Tur Dal),12950.0,,,
Uttar Pradesh,Auraiya,Bengal Gram Dal (Chana Dal),6200.0,,,
Uttar Pradesh,Auraiya,Bengal Gram(Gram)(Whole),5380.0,,,
Uttar Pradesh,Auraiya,Green Gram (Moong)(Whole),7300.0,,,
Uttar Pradesh,Auraiya,Mustard,5270.0,,,
Uttar Pradesh,Auraiya,Mustard Oil,12450.0,,,
Uttar Pradesh,Auraiya,Wheat,2240.0,,,
Uttar Pradesh,Auraiya,Maize,1765.0,,,
Uttar Pradesh,Auraiya,Wheat,2250.0,,,
